year,jurisdiction,average_scale_score,race_ethnicity_used_to_report_trends_school_reported
2024,Philadelphia,‡,Two or More Races
2024,San Diego,242.06548,Two or More Races
2024,Albuquerque,226.271161,White
2024,Atlanta,257.47228,White
2024,Austin,241.92853,White
2024,Baltimore City,‡,White
2024,Boston,245.128108,White
2024,Charlotte,241.645461,White
2024,Chicago,237.182538,White
2024,Clark County (NV),224.174132,White
2024,Cleveland,193.603535,White
2024,Dallas,‡,White
2024,Denver,246.312465,White
2024,Detroit,‡,White
2024,District of Columbia (DCPS),261.666031,White
2024,Duval County (FL),225.645727,White
2024,Fort Worth,222.05678,White
2024,Guilford County (NC),231.670241,White
2024,Hillsborough County (FL),235.286146,White
2024,Houston,243.649246,White
2024,Jefferson County (KY),223.149623,White
2024,Los Angeles,233.58607,White
2024,Miami,237.312339,White
2024,Milwaukee,219.972289,White
2024,New York City,228.88517,White
2024,Orange County (FL),235.206742,White
2024,Philadelphia,217.024766,White
2024,San Diego,239.98228,White
2024,Nation,198,Black
2024,Nation,203,Hispanic
2024,Nation,224,White
2022,National,227,White
2022,National,199,Black
2022,National,205,Hispanic
2022,National,239,Asian/Pacific Islander
2022,National,197,American Indian/Alaska Native
2022,National,223,Two or more races
2022,Albuquerque,227,White
2022,Albuquerque,‡,Black
2022,Albuquerque,197,Hispanic
2022,Albuquerque,‡,Asian/Pacific Islander
2022,Albuquerque,‡,American Indian/Alaska Native
2022,Albuquerque,‡,Two or more races
2022,Atlanta,246,White
2022,Atlanta,190,Black
2022,Atlanta,215,Hispanic
2022,Atlanta,‡,Asian/Pacific Islander
2022,Atlanta,‡,American Indian/Alaska Native
2022,Atlanta,‡,Two or more races
2022,Austin,251,White
2022,Austin,‡,Black
2022,Austin,203,Hispanic
2022,Austin,‡,Asian/Pacific Islander
2022,Austin,‡,American Indian/Alaska Native
2022,Austin,‡,Two or more races
2022,Baltimore City,‡,White
2022,Baltimore City,186,Black
2022,Baltimore City,171,Hispanic
2022,Baltimore City,‡,Asian/Pacific Islander
2022,Baltimore City,‡,American Indian/Alaska Native
2022,Baltimore City,‡,Two or more races
2022,Boston,242,White
2022,Boston,199,Black
2022,Boston,201,Hispanic
2022,Boston,237,Asian/Pacific Islander
2022,Boston,‡,American Indian/Alaska Native
2022,Boston,‡,Two or more races
2022,Charlotte,247,White
2022,Charlotte,202,Black
2022,Charlotte,196,Hispanic
2022,Charlotte,242,Asian/Pacific Islander
2022,Charlotte,‡,American Indian/Alaska Native
2022,Charlotte,‡,Two or more races
2022,Chicago,239,White
2022,Chicago,194,Black
2022,Chicago,202,Hispanic
2022,Chicago,‡,Asian/Pacific Islander
2022,Chicago,‡,American Indian/Alaska Native
2022,Chicago,‡,Two or more races
2022,Clark County (NV),223,White
2022,Clark County (NV),190,Black
2022,Clark County (NV),204,Hispanic
2022,Clark County (NV),234,Asian/Pacific Islander
2022,Clark County (NV),‡,American Indian/Alaska Native
2022,Clark County (NV),206,Two or more races
2022,Cleveland,191,White
2022,Cleveland,175,Black
2022,Cleveland,182,Hispanic
2022,Cleveland,‡,Asian/Pacific Islander
2022,Cleveland,‡,American Indian/Alaska Native
2022,Cleveland,‡,Two or more races
2022,Dallas,‡,White
2022,Dallas,194,Black
2022,Dallas,200,Hispanic
2022,Dallas,‡,Asian/Pacific Islander
2022,Dallas,‡,American Indian/Alaska Native
2022,Dallas,‡,Two or more races
2022,Denver,243,White
2022,Denver,202,Black
2022,Denver,196,Hispanic
2022,Denver,‡,Asian/Pacific Islander
2022,Denver,‡,American Indian/Alaska Native
2022,Denver,‡,Two or more races
2022,Detroit,‡,White
2022,Detroit,175,Black
2022,Detroit,184,Hispanic
2022,Detroit,‡,Asian/Pacific Islander
2022,Detroit,‡,American Indian/Alaska Native
2022,Detroit,‡,Two or more races
2022,District of Columbia (DCPS),266,White
2022,District of Columbia (DCPS),197,Black
2022,District of Columbia (DCPS),204,Hispanic
2022,District of Columbia (DCPS),‡,Asian/Pacific Islander
2022,District of Columbia (DCPS),‡,American Indian/Alaska Native
2022,District of Columbia (DCPS),‡,Two or more races
2022,Duval County (FL),227,White
2022,Duval County (FL),202,Black
2022,Duval County (FL),208,Hispanic
2022,Duval County (FL),‡,Asian/Pacific Islander
2022,Duval County (FL),‡,American Indian/Alaska Native
2022,Duval County (FL),‡,Two or more races
2022,Fort Worth (TX),231,White
2022,Fort Worth (TX),195,Black
2022,Fort Worth (TX),196,Hispanic
2022,Fort Worth (TX),‡,Asian/Pacific Islander
2022,Fort Worth (TX),‡,American Indian/Alaska Native
2022,Fort Worth (TX),‡,Two or more races
2022,Fresno,—,White
2022,Fresno,—,Black
2022,Fresno,—,Hispanic
2022,Fresno,—,Asian/Pacific Islander
2022,Fresno,—,American Indian/Alaska Native
2022,Fresno,—,Two or more races
2022,Guilford County (NC),233,White
2022,Guilford County (NC),201,Black
2022,Guilford County (NC),202,Hispanic
2022,Guilford County (NC),223,Asian/Pacific Islander
2022,Guilford County (NC),‡,American Indian/Alaska Native
2022,Guilford County (NC),‡,Two or more races
2022,Hillsborough County (FL),239,White
2022,Hillsborough County (FL),210,Black
2022,Hillsborough County (FL),222,Hispanic
2022,Hillsborough County (FL),‡,Asian/Pacific Islander
2022,Hillsborough County (FL),‡,American Indian/Alaska Native
2022,Hillsborough County (FL),‡,Two or more races
2022,Houston,242,White
2022,Houston,192,Black
2022,Houston,197,Hispanic
2022,Houston,242,Asian/Pacific Islander
2022,Houston,‡,American Indian/Alaska Native
2022,Houston,‡,Two or more races
2022,Jefferson County (KY),224,White
2022,Jefferson County (KY),195,Black
2022,Jefferson County (KY),196,Hispanic
2022,Jefferson County (KY),‡,Asian/Pacific Islander
2022,Jefferson County (KY),‡,American Indian/Alaska Native
2022,Jefferson County (KY),‡,Two or more races
2022,Los Angeles,241,White
2022,Los Angeles,202,Black
2022,Los Angeles,199,Hispanic
2022,Los Angeles,241,Asian/Pacific Islander
2022,Los Angeles,‡,American Indian/Alaska Native
2022,Los Angeles,‡,Two or more races
2022,Miami-Dade,244,White
2022,Miami-Dade,207,Black
2022,Miami-Dade,226,Hispanic
2022,Miami-Dade,‡,Asian/Pacific Islander
2022,Miami-Dade,‡,American Indian/Alaska Native
2022,Miami-Dade,‡,Two or more races
2022,Milwaukee,224,White
2022,Milwaukee,174,Black
2022,Milwaukee,190,Hispanic
2022,Milwaukee,203,Asian/Pacific Islander
2022,Milwaukee,‡,American Indian/Alaska Native
2022,Milwaukee,‡,Two or more races
2022,New York City,232,White
2022,New York City,195,Black
2022,New York City,199,Hispanic
2022,New York City,231,Asian/Pacific Islander
2022,New York City,‡,American Indian/Alaska Native
2022,New York City,‡,Two or more races
2022,Philadelphia,223,White
2022,Philadelphia,183,Black
2022,Philadelphia,189,Hispanic
2022,Philadelphia,‡,Asian/Pacific Islander
2022,Philadelphia,‡,American Indian/Alaska Native
2022,Philadelphia,‡,Two or more races
2022,San Diego,240,White
2022,San Diego,207,Black
2022,San Diego,206,Hispanic
2022,San Diego,240,Asian/Pacific Islander
2022,San Diego,‡,American Indian/Alaska Native
2022,San Diego,232,Two or more races
2022,Shelby County (TN),‡,White
2022,Shelby County (TN),193,Black
2022,Shelby County (TN),198,Hispanic
2022,Shelby County (TN),‡,Asian/Pacific Islander
2022,Shelby County (TN),‡,American Indian/Alaska Native
2022,Shelby County (TN),‡,Two or more races
2019,National,230,White
2019,National,204,Black
2019,National,209,Hispanic
2019,National,237,Asian/Pacific Islander
2019,National,204,American Indian/Alaska Native
2019,National,226,Two or more races
2019,Albuquerque,231,White
2019,Albuquerque,‡,Black
2019,Albuquerque,200,Hispanic
2019,Albuquerque,‡,Asian/Pacific Islander
2019,Albuquerque,‡,American Indian/Alaska Native
2019,Albuquerque,‡,Two or more races
2019,Atlanta,256,White
2019,Atlanta,202,Black
2019,Atlanta,206,Hispanic
2019,Atlanta,‡,Asian/Pacific Islander
2019,Atlanta,‡,American Indian/Alaska Native
2019,Atlanta,‡,Two or more races
2019,Austin,242,White
2019,Austin,‡,Black
2019,Austin,202,Hispanic
2019,Austin,‡,Asian/Pacific Islander
2019,Austin,‡,American Indian/Alaska Native
2019,Austin,‡,Two or more races
2019,Baltimore City,224,White
2019,Baltimore City,188,Black
2019,Baltimore City,194,Hispanic
2019,Baltimore City,‡,Asian/Pacific Islander
2019,Baltimore City,‡,American Indian/Alaska Native
2019,Baltimore City,‡,Two or more races
2019,Boston,240,White
2019,Boston,206,Black
2019,Boston,205,Hispanic
2019,Boston,237,Asian/Pacific Islander
2019,Boston,‡,American Indian/Alaska Native
2019,Boston,‡,Two or more races
2019,Charlotte,249,White
2019,Charlotte,213,Black
2019,Charlotte,212,Hispanic
2019,Charlotte,237,Asian/Pacific Islander
2019,Charlotte,‡,American Indian/Alaska Native
2019,Charlotte,‡,Two or more races
2019,Chicago,238,White
2019,Chicago,199,Black
2019,Chicago,207,Hispanic
2019,Chicago,232,Asian/Pacific Islander
2019,Chicago,‡,American Indian/Alaska Native
2019,Chicago,‡,Two or more races
2019,Clark County (NV),230,White
2019,Clark County (NV),199,Black
2019,Clark County (NV),212,Hispanic
2019,Clark County (NV),230,Asian/Pacific Islander
2019,Clark County (NV),‡,American Indian/Alaska Native
2019,Clark County (NV),227,Two or more races
2019,Cleveland,214,White
2019,Cleveland,193,Black
2019,Cleveland,188,Hispanic
2019,Cleveland,‡,Asian/Pacific Islander
2019,Cleveland,‡,American Indian/Alaska Native
2019,Cleveland,‡,Two or more races
2019,Dallas,‡,White
2019,Dallas,195,Black
2019,Dallas,201,Hispanic
2019,Dallas,‡,Asian/Pacific Islander
2019,Dallas,‡,American Indian/Alaska Native
2019,Dallas,‡,Two or more races
2019,Denver,246,White
2019,Denver,207,Black
2019,Denver,202,Hispanic
2019,Denver,‡,Asian/Pacific Islander
2019,Denver,‡,American Indian/Alaska Native
2019,Denver,‡,Two or more races
2019,Detroit,‡,White
2019,Detroit,180,Black
2019,Detroit,195,Hispanic
2019,Detroit,‡,Asian/Pacific Islander
2019,Detroit,‡,American Indian/Alaska Native
2019,Detroit,‡,Two or more races
2019,District of Columbia (DCPS),259,White
2019,District of Columbia (DCPS),199,Black
2019,District of Columbia (DCPS),214,Hispanic
2019,District of Columbia (DCPS),‡,Asian/Pacific Islander
2019,District of Columbia (DCPS),‡,American Indian/Alaska Native
2019,District of Columbia (DCPS),‡,Two or more races
2019,Duval County (FL),233,White
2019,Duval County (FL),209,Black
2019,Duval County (FL),226,Hispanic
2019,Duval County (FL),‡,Asian/Pacific Islander
2019,Duval County (FL),‡,American Indian/Alaska Native
2019,Duval County (FL),226,Two or more races
2019,Fort Worth (TX),233,White
2019,Fort Worth (TX),193,Black
2019,Fort Worth (TX),202,Hispanic
2019,Fort Worth (TX),‡,Asian/Pacific Islander
2019,Fort Worth (TX),‡,American Indian/Alaska Native
2019,Fort Worth (TX),‡,Two or more races
2019,Fresno,223,White
2019,Fresno,193,Black
2019,Fresno,202,Hispanic
2019,Fresno,208,Asian/Pacific Islander
